Fluss,Nr,Name,Y,X,Bemerkung,Grabung,Anzahl Bef. (ausgegraben),Sequenztiefe,IMB,BON,IGD,ING,LOK,MON,LUS,YET,LNG,BOK,BKE,LON,MBA,BEK,BDG,BSG,WEM,WAF,NKI,MPO,BOS,MAL,BLD,BOT,IKK,"Ubangi-Ngiri-""Import""",BKN,LIK,BLM,LKG,NKB,IKE,ILB,YOP,LSL
,1,Bondongo-Losombo,"-1,012556","18,661187",Pos?,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
,2,Bongongo,"-0,794161","18,72677",Pos?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lac Tumba,3,Bikoro,"-0,736957","18,126623",,,,1,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruki Hinterland,4,Mbeke,"-0,250149","18,683283",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruki Hinterland,4a,Bokenyola,"-0,312474","18,64359",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Zaïre,5,Botunu,"-0,641539","17,702895",,,,3,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,
Zaïre,6,Irebu,"-0,605136","17,768087",,,,1,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Zaïre,7,Ikengo,"-0,125879","18,13318",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Zaïre,8,Iyonda,"-0,037076","18,184492",,x,2,7,x,,x,,,,,,x,x,,,,,x,,,,x,,,,,x,,,,,,,,,,,
Zaïre,9,Inganda,"-0,015508","18,210484",,,,5,x,,,x,,,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,,
Zaïre,10,Mbandaka,"0,047734","18,256204",,x,4,10,x,,,x,x,,x,,,,,x,x,,x,,,,x,,,,,x,,,,,,,,x,,,
Zaïre,10,Mbandaka (2011/12),"0,047734","18,256204",,x,5,2,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,
Ruki,11,Boyeka,"0,054651","18,332576",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Ruki,12,Bamanya,"0,00979","18,316297",,x,1,9,x,x,,x,x,,,x,,,,,,,x,,,,x,,,,,x,,,,,,,,x,,,
Lac Mpaku,13,Mpaku,"-0,143084","18,570458",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
