Kat-Nr,ort_lit,ort_name,x_long,y_lat
237,DS,Gombe,17.580406,-0.704069
133,Wotzka 1995,Mondjo,19.269369,0.347772
292,DS,Bojenjo,17.432057,-0.006791
295,DS,Bokuma,17.478148,0.099491
285,DS,Boleko,17.221926,-0.805556
286,DS,Botwale,17.365479,-0.552494
298,DS,Bwanela,17.288312,0.505637
284,DS,Boyenge,17.199855,-0.835253
297,DS,Ebambe,17.394327,0.289744
302,DS,Botongo,17.096583,0.854494
306,DS,Epena,17.448092,1.353924
287,DS,Ilebo,17.43441,-0.454365
307,DS,Matoko,17.472723,1.382916
305,DS,Itanga,17.413073,1.209168
303,DS,Jeke,17.306587,1.056931
300,DS,Likunda,17.129339,0.732624
294,DS,Boenja,17.482715,0.081668
293,DS,Bongo,17.474487,0.074479
290,DS,Lokolélé,17.417014,-0.096843
291,DS,Likwala-Esobe km 186,17.406785,-0.048312
301,DS,Likwala-Esobe km 401,17.090295,0.817823
288,DS,Misongo,17.359252,-0.406653
299,DS,Mosenge,17.166614,0.66054
296,DS,Mosengi,17.454138,0.245281
304,DS,Munda,17.356948,1.162608
283,DS,Ngombe,17.192417,-0.849508
289,DS,Yumba,17.366567,-0.351703
232,DS,Ilawa,18.690466,3.004896
230,DS,Maluba,18.523706,2.806193
58,Wotzka 1995,Wafanya,20.378778,-1.354817
149,Wotzka 1995,Boso-Njafo,19.209599,1.130547
161,Wotzka 1995,Baringa,20.735732,0.729053
43,Wotzka 1995,Imbonga,19.788493,-0.821913
279,DS,Bonga,15.67283,1.925175
277,DS,Mbenja,15.825282,1.852351
281,DS,Ngama,15.550034,1.957609
278,DS,Ngwangala,15.72812,1.911856
276,DS,Pandama,15.881677,1.783279
282,DS,Yengo,15.536524,1.959528
14,Wotzka 1995,Bokele,18.59212,-0.099389
18,Wotzka 1995,Bokuma,18.697792,-0.114356
17,Wotzka 1995,Nkile,18.677862,-0.111339
20,Wotzka 1995,Ikenge,18.781467,-0.121739
239,DS,Bobusa,16.917098,-1.052349
272,DS,Bonda,16.08439,2.189246
238,DS,Bonga,16.873263,-1.117121
274,DS,Bomasa,16.185432,2.203077
250,DS,Bokonongo,17.129437,0.201971
260,DS,Ikelemba,16.504824,1.227166
268,DS,Konda,16.146811,1.782783
254,DS,Bili,16.9012,0.511441
249,DS,Inyenge,17.10747,0.196574
248,DS,Loboko,17.130913,-0.109189
247,DS,Likaya,17.134665,-0.343552
269,DS,Leme,16.112376,1.880963
270,DS,Gbagbale,16.082956,2.076599
266,DS,Gatongo,16.129714,1.68776
267,DS,Maboko,16.135199,1.731363
264,DS,Matoto,16.431282,1.281643
259,DS,Mandombe,16.5227,1.116917
251,DS,Mitula,17.046761,0.291662
256,DS,Itandi,16.590471,0.697639
243,DS,Monjolomba,17.174576,-0.684421
246,DS,Mobaka,17.134569,-0.366609
258,DS,Molanda,16.537896,0.945646
244,DS,Sangha Fkm 85,17.148883,-0.653186
245,DS,Bondo-Mission,17.166283,-0.400786
252,DS,Ngombe,16.987737,0.36855
261,DS,Motoli,16.467736,1.227602
262,DS,Mosanya,16.447391,1.213
242,DS,Sangha Fkm 72,17.197602,-0.69929
240,DS,Sangha Fkm 40,16.932954,-1.045511
271,DS,Mai impembe,16.087011,2.087501
265,DS,Ouesso,16.057202,1.617344
255,DS,Pikunda,16.635736,0.549344
263,DS,Sangha Fkm 428,16.443523,1.250183
257,DS,Sangha Fkm 359,16.620355,0.758884
241,DS,Sosolo,17.128605,-0.892241
96,Wotzka 1995,Bolondo,21.253168,-0.305801
215,DS,Bangui,18.553721,4.352572
209,DS,Batanga,18.594438,3.710706
198,DS,Bobulu,18.042886,1.441145
