Ort,Kat-Nr,X,Y,TYP
Bomboko (Fpl. 210),210,18.594426,3.912055,BTM
Dongo (Fpl. 202),202,18.404747,2.72187,BTM
Libenge (Fpl. 208),208,18.632694,3.648189,BTM
Maluba (Fpl. 230),230,18.523706,2.806193,BTM
Maoko (Fpl. 207),207,18.642191,3.407332,BTM
Mbati-Ngombe (Fpl. 204),204,18.495671,2.888154,BTM
Mokelo (Fpl. 213),213,18.638442,4.063908,BTM
Ngbanja (Fpl. 199),199,18.092242,1.665022,BTM
Nzambi (Fpl. 205),205,18.637255,3.16192,BTM
Ebeka (Fpl. 197),197,18.031148,1.429335,BTM (?)
Mondoli (Fpl. 212),212,18.641746,3.977498,BTM (?)
Motenge-Boma (Fpl. 206),206,18.648645,3.244495,BTM (?)
"Ubangi, Fkm 415,5 (Fpl. 203)",203,18.44678,2.84903,BTM (?)
