Ort,Kat-Nr,X,Y,TYP
Matoto (Fpl. 264),264,16.431282,1.281643,NGB
Ngbanja (Fpl. 199),199,18.092242,1.665022,NGB
Nzambi (Fpl. 205),205,18.637255,3.16192,NGB
Ouesso (Fpl. 265),265,16.057202,1.617344,NGB
Pandama (Fpl. 276),276,15.881677,1.783279,NGB
Pikunda (Fpl. 255),255,16.635736,0.549344,NGB
Ebeka (Fpl. 197),197,18.031148,1.429335,NGB (?)
Ikelemba (Fpl. 260),260,16.504824,1.227166,NGB (?)
Loka (Fpl. 193),193,17.945614,0.320338,NGB (?)
Maluba (Fpl. 230),230,18.523706,2.806193,NGB (?)
Maoko (Fpl. 207),207,18.642191,3.407332,NGB (?)
Mosanya (Fpl. 262),262,16.447391,1.213,NGB (?)
Motenge-Boma (Fpl. 206),206,18.648645,3.244495,NGB (?)
