Ort,Kat-Nr,X,Y,TYP
Balongoi (Fpl. 214),214,18.644374,4.129969,DON
Bousoka-Mangombe (Fpl. 200),200,18.072635,1.871467,DON
Dongo (Fpl. 202),202,18.404747,2.72187,DON
Maluba (Fpl. 230),230,18.523706,2.806193,DON
Mbati-Ngombe (Fpl. 204),204,18.495671,2.888154,DON
Mboma (Fpl. 211),211,18.648525,3.947071,DON
Motenge-Boma (Fpl. 206),206,18.648645,3.244495,DON
Ngbanja (Fpl. 199),199,18.092242,1.665022,DON
Nzambi (Fpl. 205),205,18.637255,3.16192,DON
Batanga (Fpl. 209),209,18.594438,3.710706,DON (?)
Ilawa (Fpl. 232),232,18.690466,3.004896,DON (?)
Mboko 1 (Fpl. 217),217,18.69029,4.367518,DON (?)
