Ort,Kat-Nr,X,Y,TYP
Balongoi (Fpl. 214),214,18.644374,4.129969,MTB
Batanga (Fpl. 209),209,18.594438,3.710706,MTB
Dongo (Fpl. 202),202,18.404747,2.72187,MTB
Ilawa (Fpl. 232),232,18.690466,3.004896,MTB
Libenge (Fpl. 208),208,18.632694,3.648189,MTB
Maluba (Fpl. 230),230,18.523706,2.806193,MTB
Maoko (Fpl. 207),207,18.642191,3.407332,MTB
Mbati-Ngombe (Fpl. 204),204,18.495671,2.888154,MTB
Mboko 1 (Fpl. 217),217,18.69029,4.367518,MTB
Mboma (Fpl. 211),211,18.648525,3.947071,MTB
Mokelo (Fpl. 213),213,18.638442,4.063908,MTB
Mondoli (Fpl. 212),212,18.641746,3.977498,MTB
Motenge-Boma (Fpl. 206),206,18.648645,3.244495,MTB
Nzambi (Fpl. 205),205,18.637255,3.16192,MTB
Bomboko (Fpl. 210),210,18.594426,3.912055,MTB (?)
Imese (Fpl. 201),201,18.105096,2.116407,MTB (?)
