Ort,Kat-Nr,X,Y,TYP
Boduna (Fpl. 225),225,19.741706,5.1083,DAM
Bousoka-Mangombe (Fpl. 200),200,18.072635,1.871467,DAM
Dama 1 (Fpl. 222),222,19.417146,5.114828,DAM
Dokeve 2 (Fpl. 224),224,19.523072,5.13121,DAM
Gbandami (Fpl. 226),226,19.815534,5.111067,DAM
Maluba (Fpl. 230),230,18.523706,2.806193,DAM
Motenge-Boma (Fpl. 206),206,18.648645,3.244495,DAM
Ndengu (Fpl. 227),227,19.83953,5.103759,DAM
Sidi (Fpl. 228),228,19.868638,5.01693,DAM
Kouango (Fpl. 229),229,19.976358,4.990322,DAM (?)
Nzambi (Fpl. 205),205,18.637255,3.16192,DAM (?)
