Ort,Kat-Nr,X,Y,TYP
Bonda (Fpl. 272),272,16.08439,2.189246,MBJ
Bonga (Fpl. 279),279,15.67283,1.925175,MBJ
Ikelemba (Fpl. 260),260,16.504824,1.227166,MBJ
Maboko (Fpl. 267),267,16.135199,1.731363,MBJ
Mai impembe (Fpl. 271),271,16.087011,2.087501,MBJ
Mandombe (Fpl. 259),259,16.5227,1.116917,MBJ
Mbenja (Fpl. 277),277,15.825282,1.852351,MBJ
Molanda (Fpl. 258),258,16.537896,0.945646,MBJ
Mosanya (Fpl. 262),262,16.447391,1.213,MBJ
Ngama (Fpl. 281),281,15.550034,1.957609,MBJ
Ngoko Fkm 17 (Fpl. 275),275,15.997858,1.762354,MBJ
Ngwangala (Fpl. 278),278,15.72812,1.911856,MBJ
Ouesso (Fpl. 265),265,16.057202,1.617344,MBJ
Pandama (Fpl. 276),276,15.881677,1.783279,MBJ
Pikunda (Fpl. 255),255,16.635736,0.549344,MBJ (?)
Sakao (Fpl. 273),273,16.145396,2.174978,MBJ (?)
