Ort,Kat-Nr,X,Y,TYP
Bojenjo (Fpl. 292),292,17.432057,-0.006791,MKA
Bokuma (Fpl. 295),295,17.478148,0.099491,MKA
Boleko (Fpl. 285),285,17.221926,-0.805556,MKA
Bondo-Mission (Fpl. 245),245,17.166283,-0.400786,MKA
Botwale (Fpl. 286),286,17.365479,-0.552494,MKA
Ebambe (Fpl. 297),297,17.394327,0.289744,MKA
Itanga (Fpl. 305),305,17.413073,1.209168,MKA
Jeke (Fpl. 303),303,17.306587,1.056931,MKA
Loboko (Fpl. 248),248,17.130913,-0.109189,MKA
Misongo (Fpl. 288),288,17.359252,-0.406653,MKA
Mobaka (Fpl. 246),246,17.134569,-0.366609,MKA
Monjolomba (Fpl. 243),243,17.174576,-0.684421,MKA
Ngombe (Fpl. 283),283,17.192417,-0.849508,MKA
Sosolo (Fpl. 241),241,17.128605,-0.892241,MKA
Yumba (Fpl. 289),289,17.366567,-0.351703,MKA
Bwanela (Fpl. 298),298,17.288312,0.505637,MKA (?)
Gombe (Fpl. 237),237,17.580406,-0.704069,MKA (?)
Ikelemba (Fpl. 260),260,16.504824,1.227166,MKA (?)
Ilebo (Fpl. 287),287,17.43441,-0.454365,MKA (?)
Lokolele (Fpl. 290),290,17.417014,-0.096843,MKA (?)
Matoto (Fpl. 264),264,16.431282,1.281643,MKA (?)
