Ort,Kat-Nr,X,Y,TYP
Bobusa (Fpl. 239),239,16.917098,-1.052349,EPE
Bojenjo (Fpl. 292),292,17.432057,-0.006791,EPE
Bokuma (Fpl. 295),295,17.478148,0.099491,EPE
Boleko (Fpl. 285),285,17.221926,-0.805556,EPE
Bonga (Fpl. 238),238,16.873263,-1.117121,EPE
Botwale (Fpl. 286),286,17.365479,-0.552494,EPE
Ebambe (Fpl. 297),297,17.394327,0.289744,EPE
Epena (Fpl. 306),306,17.448092,1.353924,EPE
Gombe (Fpl. 237),237,17.580406,-0.704069,EPE
Ilebo (Fpl. 287),287,17.43441,-0.454365,EPE
Itanga (Fpl. 305),305,17.413073,1.209168,EPE
Jeke (Fpl. 303),303,17.306587,1.056931,EPE
Leme (Fpl. 269),269,16.112376,1.880963,EPE
Likunda (Fpl. 300),300,17.129339,0.732624,EPE
Lokolélé (Fpl. 290),290,17.417014,-0.096843,EPE
Monjolomba (Fpl. 243),243,17.174576,-0.684421,EPE
Mosenge (Fpl. 299),299,17.166614,0.66054,EPE
Mosengi (Fpl. 296),296,17.454138,0.245281,EPE
Munda (Fpl. 304),304,17.356948,1.162608,EPE
Ngombe (Fpl. 283),283,17.192417,-0.849508,EPE
Sangha Fkm 72 (Fpl. 242),242,17.197602,-0.69929,EPE
Sungu (Fpl. 236),236,17.334786,-1.033313,EPE
Yumba (Fpl. 289),289,17.366567,-0.351703,EPE
Botongo (Fpl. 302),302,17.096583,0.854494,EPE (?)
Bwanela (Fpl. 298),298,17.288312,0.505637,EPE (?)
Loboko (Fpl. 248),248,17.130913,-0.109189,EPE (?)
Maberu (Fpl. 235),235,17.257014,-1.069018,EPE (?)
Misongo (Fpl. 288),288,17.359252,-0.406653,EPE (?)
Mitula (Fpl. 251),251,17.046761,0.291662,EPE (?)
Pikunda (Fpl. 255),255,16.635736,0.549344,EPE (?)
Sangha Fkm 85 (Fpl. 244),244,17.148883,-0.653186,EPE (?)
Sosolo (Fpl. 241),241,17.128605,-0.892241,EPE (?)
