Ort,Kat-Nr,X,Y,TYP
Bobusa (Fpl. 239),239,16.917098,-1.052349,JEK
Bojenjo (Fpl. 292),292,17.432057,-0.006791,JEK
Bokuma (Fpl. 295),295,17.478148,0.099491,JEK
Boleko (Fpl. 285),285,17.221926,-0.805556,JEK
Bonga (Fpl. 238),238,16.873263,-1.117121,JEK
Botwale (Fpl. 286),286,17.365479,-0.552494,JEK
Ebambe (Fpl. 297),297,17.394327,0.289744,JEK
Epena (Fpl. 306),306,17.448092,1.353924,JEK
Gombe (Fpl. 237),237,17.580406,-0.704069,JEK
Ilebo (Fpl. 287),287,17.43441,-0.454365,JEK
Itanga (Fpl. 305),305,17.413073,1.209168,JEK
Jeke (Fpl. 303),303,17.306587,1.056931,JEK
Leme (Fpl. 269),269,16.112376,1.880963,JEK
Likunda (Fpl. 300),300,17.129339,0.732624,JEK
Lokolélé (Fpl. 290),290,17.417014,-0.096843,JEK
Monjolomba (Fpl. 243),243,17.174576,-0.684421,JEK
Mosenge (Fpl. 299),299,17.166614,0.66054,JEK
Mosengi (Fpl. 296),296,17.454138,0.245281,JEK
Munda (Fpl. 304),304,17.356948,1.162608,JEK
Ngombe (Fpl. 283),283,17.192417,-0.849508,JEK
Sangha Fkm 72 (Fpl. 242),242,17.197602,-0.69929,JEK
Sungu (Fpl. 236),236,17.334786,-1.033313,JEK
Yumba (Fpl. 289),289,17.366567,-0.351703,JEK
Botongo (Fpl. 302),302,17.096583,0.854494,JEK (?)
Bwanela (Fpl. 298),298,17.288312,0.505637,JEK (?)
Loboko (Fpl. 248),248,17.130913,-0.109189,JEK (?)
Maberu (Fpl. 235),235,17.257014,-1.069018,JEK (?)
Misongo (Fpl. 288),288,17.359252,-0.406653,JEK (?)
Mitula (Fpl. 251),251,17.046761,0.291662,JEK (?)
Pikunda (Fpl. 255),255,16.635736,0.549344,JEK (?)
Sangha Fkm 85 (Fpl. 244),244,17.148883,-0.653186,JEK (?)
Sosolo (Fpl. 241),241,17.128605,-0.892241,JEK (?)
