Ort,Kat-Nr,X,Y,TYP
Ikelemba (Fpl. 260),260,16.504824,1.227166,PKM
Itandi (Fpl. 256),256,16.590471,0.697639,PKM
Likaya (Fpl. 247),247,17.134665,-0.343552,PKM
Mitula (Fpl. 251),251,17.046761,0.291662,PKM
Mosanya (Fpl. 262),262,16.447391,1213,PKM
Munda (Fpl. 304),304,17.356948,1.162608,PKM
Pikunda (Fpl. 255),255,16.635736,0.549344,PKM
Sungu (Fpl. 236),236,17.334786,-1.033313,PKM
Bobusa (Fpl. 239),239,16.917098,-1.052349,PKM (?)
Bojenjo (Fpl. 292),292,17.432057,-0.006791,PKM (?)
Bokonongo (Fpl. 250),250,17.129437,0.201971,PKM (?)
Boleko (Fpl. 285),285,17.221926,-0.805556,PKM (?)
Bwanela (Fpl. 298),298,17.288312,0.505637,PKM (?)
Ebambe (Fpl. 297),297,17.394327,0.289744,PKM (?)
Epena (Fpl. 306),306,17.448092,1.353924,PKM (?)
Ifondo (Fpl. 253),253,16.908795,0.481301,PKM (?)
Itanga (Fpl. 305),305,17.413073,1.209168,PKM (?)
Jeke (Fpl. 303),303,17.306587,1.056931,PKM (?)
Lokolélé (Fpl. 290),290,17.417014,-0.096843,PKM (?)
Maberu (Fpl. 235),235,17.257014,-1.069018,PKM (?)
Mandombe (Fpl. 259),259,16.5227,1.116917,PKM (?)
Misongo (Fpl. 288),288,17.359252,-0.406653,PKM (?)
Molanda (Fpl. 258),258,16.537896,0.945646,PKM (?)
Monjolomba (Fpl. 243),243,17.174576,-0.684421,PKM (?)
Mosenge (Fpl. 299),299,17.166614,0.66054,PKM (?)
Sosolo (Fpl. 241),241,17.128605,-0.892241,PKM (?)
Yumba (Fpl. 289),289,17.366567,-0.351703,PKM (?)
Ingonda Bosopela (Fpl. 140),140,18.549522,0.792926,PKM_ICB
