Ort,Kat-Nr,X,Y,TYP
Bokonongo (Fpl. 250),250,17.129437,0.201971,NGO
Boleko (Fpl. 285),285,17.221926,-0.805556,NGO
Inyenge (Fpl. 249),249,17.10747,0.196574,NGO
Monjolomba (Fpl. 243),243,17.174576,-0.684421,NGO
Ngombe (Fpl. 252),252,16.987737,0.36855,NGO
Sosolo (Fpl. 241),241,17.128605,-0.892241,NGO
Bobusa (Fpl. 239),239,16.917098,-1.052349,NGO (?)
Bojenjo (Fpl. 292),292,17.432057,-0.006791,NGO (?)
Bokuma (Fpl. 295),295,17.478148,0.099491,NGO (?)
Botongo (Fpl. 302),302,17.096583,0.854494,NGO (?)
Boyenge (Fpl. 284),284,17.199855,-0.835253,NGO (?)
Jeke (Fpl. 303),303,17.306587,1.056931,NGO (?)
Loboko (Fpl. 248),248,17.130913,-0.109189,NGO (?)
Maberu (Fpl. 235),235,17.257014,-1.069018,NGO (?)
Mandombe (Fpl. 259),259,16.5227,1.116917,NGO (?)
