Ort,Kat-Nr,X,Y,TYP
Ebeka (Fpl. 197),197,18.031148,1.429335,MAT
Ikelemba (Fpl. 260),260,16.504824,1.227166,MAT
Likwala-Esobe km 401 (Fpl. 301),301,17.090295,0.817823,MAT
Maluba (Fpl. 230),230,18.523706,2.806193,MAT
Mandombe (Fpl. 259),259,16.5227,1.116917,MAT
Matoto (Fpl. 264),264,16.431282,1.281643,MAT
Mboko 1 (Fpl. 217),217,18.69029,4.367518,MAT
Molanda (Fpl. 258),258,16.537896,0.945646,MAT
Motoli (Fpl. 261),261,16.467736,1.227602,MAT
Sangha Fkm 428 (Fpl. 263),263,16.443523,1.250183,MAT
Dongo (Fpl. 202),202,18.404747,2.72187,MAT (?)
Libenge (Fpl. 208),208,18.632694,3.648189,MAT (?)
Ngombe (Fpl. 252),252,16.987737,0.36855,MAT (?)
Pikunda (Fpl. 255),255,16.635736,0.549344,MAT (?)
Yumba (Fpl. 289),289,17.366567,-0.351703,MAT (?)
