Ort,Kat-Nr,X,Y,TYP
Bobusa (Fpl. 239),239,16.917098,-1.052349,BBS
Boleko (Fpl. 285),285,17.221926,-0.805556,BBS
Bonga (Fpl. 238),238,16.873263,-1.117121,BBS
Lukolela (Fpl. 234),234,17.175593,-1.062185,BBS
Sosolo (Fpl. 241),241,17.128605,-0.892241,BBS
Sungu (Fpl. 236),236,17.334786,-1.033313,BBS
Bokonongo (Fpl. 250),250,17.129437,0.201971,BBS (?)
Gombe (Fpl. 237),237,17.580406,-0.704069,BBS (?)
Ikelemba (Fpl. 260),260,16.504824,1.227166,BBS (?)
Loboko (Fpl. 248),248,17.130913,-0.109189,BBS (?)
Maberu (Fpl. 235),235,17.257014,-1.069018,BBS (?)
Mandombe (Fpl. 259),259,16.5227,1.116917,BBS (?)
Mitula (Fpl. 251),251,17.046761,0.291662,BBS (?)
Monjolomba (Fpl. 243),243,17.174576,-0.684421,BBS (?)
Ouesso (Fpl. 265),265,16.057202,1.617344,BBS (?)
