Ort,Kat-Nr,X,Y,TYP
Boenja (Fpl. 294),294,17.482715,0.081668,EBA
Bojenjo (Fpl. 292),292,17.432057,-0.006791,EBA
Bokonongo (Fpl. 250),250,17.129437,0.201971,EBA
Boyenge (Fpl. 284),284,17.199855,-0.835253,EBA
Ebambe (Fpl. 297),297,17.394327,0.289744,EBA
Itanga (Fpl. 305),305,17.413073,1.209168,EBA
Jeke (Fpl. 303),303,17.306587,1.056931,EBA
Likunda (Fpl. 300),300,17.129339,0.732624,EBA
Loboko (Fpl. 248),248,17.130913,-0.109189,EBA
Lokolélé (Fpl. 290),290,17.417014,-0.096843,EBA
Maboko (Fpl. 267),267,16.135199,1.731363,EBA
Matoto (Fpl. 264),264,16.431282,1.281643,EBA
Monjolomba (Fpl. 243),243,17.174576,-0.684421,EBA
Mosenge (Fpl. 299),299,17.166614,0.66054,EBA
Mosengi (Fpl. 296),296,17.454138,0.245281,EBA
Munda (Fpl. 304),304,17.356948,1.162608,EBA
Ngombe (Fpl. 283),283,17.192417,-0.849508,EBA
Ouesso (Fpl. 265),265,16.057202,1.617344,EBA
Pikunda (Fpl. 255),255,16.635736,0.549344,EBA
Sangha Fkm 40 (Fpl. 240),240,16.932954,-1.045511,EBA
Yumba (Fpl. 289),289,17.366567,-0.351703,EBA
Bobangi (Fpl. 189),189,17.722248,-0.108898,EBA (?)
Botongo (Fpl. 302),302,17.096583,0.854494,EBA (?)
Botwale (Fpl. 286),286,17.365479,-0.552494,EBA (?)
Gombe (Fpl. 237),237,17.580406,-0.704069,EBA (?)
Ifondo (Fpl. 253),253,16.908795,0.481301,EBA (?)
Mai impembe (Fpl. 271),271,16.087011,2.087501,EBA (?)
Mandombe (Fpl. 259),259,16.5227,1.116917,EBA (?)
Mbenja (Fpl. 277),277,15.825282,1.852351,EBA (?)
Molanda (Fpl. 258),258,16.537896,0.945646,EBA (?)
Mosanya (Fpl. 262),262,16.447391,1.213,EBA (?)
Sosolo (Fpl. 241),241,17.128605,-0.892241,EBA (?)
