Ort,Kat-Nr,X,Y,TYP
Itandi (Fpl. 256),256,16.590471,0.697639,MDB
Konda (Fpl. 268),268,16.146811,1.782783,MDB
Mandombe (Fpl. 259),259,16.5227,1.116917,MDB
Molanda (Fpl. 258),258,16.537896,0.945646,MDB
Ngoko Fkm 17 (Fpl. 275),275,15.997858,1.762354,MDB
Pikunda (Fpl. 255),255,16.635736,0.549344,MDB
Bonda (Fpl. 272),272,16.08439,2.189246,MDB (?)
Ikelemba (Fpl. 260),260,16.504824,1.227166,MDB (?)
Maboko (Fpl. 267),267,16.135199,1.731363,MDB (?)
Mai impembe (Fpl. 271),271,16.087011,2.087501,MDB (?)
Matoto (Fpl. 264),264,16.431282,1.281643,MDB (?)
Motoli (Fpl. 261),261,16.467736,1.227602,MDB (?)
Ouesso (Fpl. 265),265,16.057202,1.617344,MDB (?)
Pandama (Fpl. 276),276,15.881677,1.783279,MDB (?)
Sangha Fkm 428 (Fpl. 263),263,16.443523,1.250183,MDB (?)
