Ort,Kat-Nr,X,Y,TYP
Konda (Fpl. 268),268,16.146811,1.782783,KON
Leme (Fpl. 269),269,16.112376,1.880963,KON
Maboko (Fpl. 267),267,16.135199,1.731363,KON
Mandombe (Fpl. 259),259,16.5227,1.116917,KON
Matoto (Fpl. 264),264,16.431282,1.281643,KON
Mbenja (Fpl. 277),277,15.825282,1.852351,KON
Molanda (Fpl. 258),258,16.537896,0.945646,KON
Mosanya (Fpl. 262),262,16.447391,1213,KON
Ngama (Fpl. 281),281,15.550034,1.957609,KON
Ngoko Fkm 17 (Fpl. 275),275,15.997858,1.762354,KON
Ouesso (Fpl. 265),265,16.057202,1.617344,KON
Pandama (Fpl. 276),276,15.881677,1.783279,KON
Sangha Fkm 428 (Fpl. 263),263,16.443523,1.250183,KON
Gatongo (Fpl. 266),266,16.129714,1.68776,KON (?)
Ikelemba (Fpl. 260),260,16.504824,1.227166,KON (?)
Mai impembe (Fpl. 271),271,16.087011,2.087501,KON (?)
Mosenge (Fpl. 299),299,17.166614,0.66054,KON (?)
Motoli (Fpl. 261),261,16.467736,1.227602,KON (?)
Munda (Fpl. 304),304,17.356948,1.162608,KON (?)
Ngombe (Fpl. 252),252,16.987737,0.36855,KON (?)
Pikunda (Fpl. 255),255,16.635736,0.549344,KON (?)
Mokounounou,,15.3358,1.9439,KON_TUE
