Ort,Kat-Nr,X,Y,TYP
Bonga (Fpl. 279),279,15.67283,1.925175,PDM
Gbagbale (Fpl. 270),270,16.082956,2.076599,PDM
Konda (Fpl. 268),268,16.146811,1.782783,PDM
Maboko (Fpl. 267),267,16.135199,1.731363,PDM
Mandombe (Fpl. 259),259,16.5227,1.116917,PDM
Matoto (Fpl. 264),264,16.431282,1.281643,PDM
Mbenja (Fpl. 277),277,15.825282,1.852351,PDM
Molanda (Fpl. 258),258,16.537896,0.945646,PDM
Ngama (Fpl. 281),281,15.550034,1.957609,PDM
Ngoko Fkm 17 (Fpl. 275),275,15.997858,1.762354,PDM
Ouesso (Fpl. 265),265,16.057202,1.617344,PDM
Pandama (Fpl. 276),276,15.881677,1.783279,PDM
Pikunda (Fpl. 255),255,16.635736,0.549344,PDM
Ponga (Fpl. 280),280,15.63333,1.933333,PDM
Gatongo (Fpl. 266),266,16.129714,1.68776,PDM (?)
Ifondo (Fpl. 253),253,16.908795,0.481301,PDM (?)
Ikelemba (Fpl. 260),260,16.504824,1.227166,PDM (?)
Itandi (Fpl. 256),256,16.590471,0.697639,PDM (?)
Leme (Fpl. 269),269,16.112376,1.880963,PDM (?)
Mai impembe (Fpl. 271),271,16.087011,2.087501,PDM (?)
Mosanya (Fpl. 262),262,16.447391,1.213,PDM (?)
Motoli (Fpl. 261),261,16.467736,1.227602,PDM (?)
Ngombe (Fpl. 252),252,16.987737,0.36855,PDM (?)
Sangha Fkm 428 (Fpl. 263),263,16.443523,1.250183,PDM (?)
