Ort,Kat-Nr,X,Y,TYP
Bonga (Fpl. 238),238,16.873263,-1.117121,BDG
Loka (Fpl. 193),193,17.945614,0.320338,BDG
Ngbanja (Fpl. 199),199,18.092242,1.665022,BDG
Bobangi (Fpl. 189),189,17.722248,-0.108898,BDG (?)
Bobusa (Fpl. 239),239,16.917098,-1.052349,BDG (?)
Ebambe (Fpl. 297),297,17.394327,0.289744,BDG (?)
Gombe (Fpl. 237),237,17.580406,-0.704069,BDG (?)
Lukolela (Fpl. 234),234,17.175593,-1.062185,BDG (?)
Maberu (Fpl. 235),235,17.257014,-1.069018,BDG (?)
Mitula (Fpl. 251),251,17.046761,0.291662,BDG (?)
Pikunda (Fpl. 255),255,16.635736,0.549344,BDG (?)
Sosolo (Fpl. 241),241,17.128605,-0.892241,BDG (?)
Sungu (Fpl. 236),236,17.334786,-1.033313,BDG (?)
Zamba (Fpl. 191),191,17.884584,0.271798,BDG (?)
