Ort,Kat-Nr,X,Y,TYP
Bobangi (Fpl. 189),189,17.722248,-0.108898,BOT
Bobusa (Fpl. 239),239,16.917098,-1.052349,BOT
Bokwango (Fpl. 190),190,17.7805,0.102769,BOT
Boleko (Fpl. 285),285,17.221926,-0.805556,BOT
Bolumbu (Fpl. 194),194,17.882294,0.677829,BOT
Bonga (Fpl. 238),238,16.873263,-1.117121,BOT
Botwale (Fpl. 286),286,17.365479,-0.552494,BOT
Boyenge (Fpl. 284),284,17.199855,-0.835253,BOT
Boyoka (Fpl. 196),196,17.898659,1.089931,BOT
Gombe (Fpl. 237),237,17.580406,-0.704069,BOT
Ilanga (Fpl. 192),192,17.897891,0.284087,BOT
Loboko (Fpl. 248),248,17.130913,-0.109189,BOT
Loka (Fpl. 193),193,17.945614,0.320338,BOT
Misongo (Fpl. 288),288,17.359252,-0.406653,BOT
Ngombe (Fpl. 283),283,17.192417,-0.849508,BOT
Sosolo (Fpl. 241),241,17.128605,-0.892241,BOT
Sungu (Fpl. 236),236,17.334786,-1.033313,BOT
Yumba (Fpl. 289),289,17.366567,-0.351703,BOT
Bobulu (Fpl. 198),198,18.042886,1.441145,BOT (?)
Bojenjo (Fpl. 292),292,17.432057,-0.006791,BOT (?)
Lukolela (Fpl. 234),234,17.175593,-1.062185,BOT (?)
Mitula (Fpl. 251),251,17.046761,0.291662,BOT (?)
Pikunda (Fpl. 255),255,16.635736,0.549344,BOT (?)
Zamba (Fpl. 191),191,17.884584,0.271798,BOT (?)
