TAF,OBJ,SITE,FEAT,NOTE,IND
1,1,BRU,85/101,,1
1,2,LKK,85/101,,
1,3,BOB,85/101,,a
1,4,BOB,85/101,,b
2,1,BKW,85/101,,
2,2,BKW,85/101,,8
2,3,ZAM,85/101,,12
2,4,ZAM,85/101,,13
2,5,ZAM,85/101,,9
2,6,ZAM,85/101,,7
3,1,ZAM,85/101,,8
3,2,ZAM,85/101,,15
3,3,ZAM,85/101,,16
3,4,ZAM,85/101,,3
3,5,ZAM,85/101,,10
3,6,ZAM,85/101,,5
3,7,ZAM,85/101,,14
3,8,ZAM,85/101,,17
3,9,ZAM,85/101,,2
3,11,ZAM,85/101,,6
3,10,ILA,85/101,,25
3,13,ILA,85/101,,3
3,14,LKA,85/101,,20
3,12,LKA,85/101,,17
4,1,LKA,85/101,,31
4,2,LKA,85/101,,8
4,3,LKA,85/101,,3
4,4,BLU,85/101,,8
4,5,BLU,85/101,,10
4,6,BLU,85/101,,25
4,7,BLU,85/101,,22
4,8,BLU,85/101,,23
5,1,BYO,85/101,,55
5,2,BYO,85/101,,43
5,3,BYO,85/101,,31
5,4,BYO,85/101,,21
5,5,BYO,85/101,,58
5,6,BYO,85/101,,57
5,7,EBE,85/101,,1
5,8,BBL,85/101,,41
5,9,BBL,85/101,,21
5,10,BBL,85/101,,29
5,11,BBL,85/101,,47
6,1,BBL,85/101,,57
6,2,BBL,85/101,,68
6,3,BBL,85/102,,3
6,4,BBL,85/102,,14
6,5,BBL,85/102,,1
6,6,NGB,85/101,,133
6,7,NGB,85/101,,130
6,8,NGB,85/101,,131
6,9,NGB,85/101,,142
6,10,NGB,85/101,,132
6,11,NGB,85/101,,38
6,12,NGB,85/101,,61
7,1,NGB,85/101,,62
7,2,NGB,85/101,,"135, 141"
7,3,NGB,85/101,,53
7,4,NGB,85/101,,137
7,5,NGB,85/101,134,"85, 104, 109, 110, 134, 136, 138, 140"
7,6,NGB,85/101,136,"85, 104, 109, 110, 134, 136, 138, 140"
7,7,NGB,85/101,,140
7,8,NGB,85/101,,143
7,9,NGB,85/101,,139
7,10,NGB,85/101,138,"85, 104, 109, 110, 134, 136, 138, 140"
7,11,NGB,85/101,,123
7,12,NGB,85/101,,124
7,13,DON,85/101,,72
7,14,DON,85/101,,55
7,15,DON,85/101,,18
8,1,DON,85/101,28,"3, 27, 28, 29, 31, 36, 43, 46, 48, 54, 58, 65"
8,2,DON,85/101,,12
8,3,DON,85/101,,73
8,4,DON,85/101,,78
8,5,DON,85/101,,20
8,6,DON,85/101,,16
8,7,DON,85/101,,30
8,8,DON,85/101,,6
8,9,DON,85/101,,23
8,10,DON,85/101,27,"3, 27, 28, 29, 31, 36, 43, 46, 48, 54, 58, 65"
8,11,DON,85/101,,9
8,12,DON,85/101,8,"7, 8 ,76"
9,1,DON,85/102,,120
9,2,DON,85/102,,87
9,3,DON,85/102,,126
9,4,DON,85/102,,a
9,5,DON,85/102,,117
9,6,DON,85/102,,100
9,7,MBN,85/101,,"62, 74"
9,8,MBN,85/101,,25
10,1,MBN,85/101,65,"42, 44, 48, 49, 65, 68, 75, 77, 79"
10,2,MBN,85/101,75,"42, 44, 48, 49, 65, 68, 75, 77, 79"
10,3,MBN,85/101,,37
10,4,MBN,85/101,,41
10,5,MBN,85/101,,20
10,6,MBN,85/101,,66
10,7,MBN,85/101,,43
10,8,MBN,85/101,,30
10,9,MBN,85/501,,1
10,10,MBN,85/501,,2
10,11,MBN,85/501,,3
10,12,MBN,85/502,,
11,1,NZA,85/101,,1
11,2,NZA,85/101,,24
